PRODUCTIONDATE_DAY_LOC,SHIFT_NAME,LINE_NAME,CO_TYPE,CREW_ID,SIZE_TYPE,EFFECTIVE_RUNTIME,GOOD_PRODUCTION_QTY,REJECT_PRODUCTION_QTY,RUN_TIME,PRODUCTION_ORDER_RATE,INEFFICIENT_FLAG,NO_PRODUCT,DEFECTION_RATE
2025-01-02,Afternoon-2,MAFT2201,Material_Handle,A,Renew 360,316.0,7584,469,333,24.0,0,0,0.05823916552837452
2025-01-02,Afternoon-2,MAFT2202,Material_Filament,A,Renew 360,316.0,7584,135,332,24.0,0,0,0.01748931208705791
2025-01-02,Afternoon-2,MAFT2203,Material_Handle,A,Renew 360,224.0,5376,349,236,24.0,0,0,0.06096069868995633
2025-01-02,Afternoon-2,MHPT2301,Material_Handle,A,Deep Action White,400.0,19200,499,403,48.0,0,0,0.025331235088075537
2025-01-02,Afternoon-2,MHPT2302,Material_Handle,A,Deep Action White,429.1666667,20300,545,433,96.0,0,0,0.026145358599184456
2025-01-02,Afternoon-2,MHPT2303,Material_Handle,A,Total Action Model S,404.7976012,26700,590,409,66.7,0,0,0.021619640894100404
2025-01-02,Afternoon-2,MHPT2304,Material_Filament,A,Total Defense Shield,411.6529449,25700,117,413,63.16,0,0,0.00453189758686137
2025-01-02,Afternoon-2,MHPT2305,Material_Filament,A,Classic Clean 100,403.4810127,25200,427,405,63.2,0,0,0.01666211417645452
2025-01-02,Afternoon-2,MHPT2306,Material_Filament,A,Total Defense Shield,451.6149462,28224,141,453,63.16,0,0,0.004970914859862507
2025-01-02,Afternoon-2,MHPT2307,UNKNOWN,A,Total Defense Shield,421.2792907,26308,517,424,63.16,0,0,0.019273066169617895
2025-01-02,Afternoon-2,MKBC0101,Material_Handle,A,Kids FunBrush (Tandy),319.1860465,27150,476,307,86.0,0,0,0.017230145515094476
2025-01-02,Afternoon-2,MKBC0101,Bundle_Material,A,Kids FunBrush (Tandy),0.0,0,0,15,86.0,0,1,
2025-01-02,Afternoon-2,MKBC0101,Bundle_Material,A,Ocean Explorer (Ages 6+),89.53488372,7700,353,90,86.0,0,0,0.04383459580280641
2025-01-02,Afternoon-2,MKBC0102,Material_Filament,A,Pro-Shield Complete,280.0982801,22800,288,283,81.4,0,0,0.012474012474012475
2025-01-02,Afternoon-2,MKBC0201,Material_Handle,A,EcoFresh Plus,359.3932322,30500,207,369,171.4,0,0,0.006741133943400528
2025-01-02,Afternoon-2,MKBC0202,Material_Filament,A,Pro-Clean 5000,341.5233415,27500,382,344,244.2,0,0,0.01370059536618607
2025-01-02,Afternoon-2,MKBC0301,Material_Filament,A,Total Defense Shield,319.391635,24900,752,324,157.8,0,0,0.02931545298612194
2025-01-02,Afternoon-2,MKBC0302,Material_Handle,A,EcoFresh Plus,386.0465116,32900,383,388,172.0,0,0,0.011507376137968333
2025-01-02,Afternoon-2,MKBC0401,Material_Filament,A,Zenith Active,423.0627533,34150,202,424,162.86,0,0,0.00588029809035864
2025-01-02,Afternoon-2,MKBC0402,Material_Filament,A,Zenith Active,394.8176348,31850,118,396,162.86,0,0,0.0036911911911911913
2025-01-02,Afternoon-2,MKBC0501,Material_Handle,A,GreenClean Pro,207.133059,15100,664,212,145.8,0,0,0.04212128901294088
2025-01-02,Afternoon-2,MKBC0502,Material_Filament,A,Super Soft Tech,295.7568081,23050,689,167,78.95,0,0,0.029023968996166646
2025-01-02,Afternoon-2,MKBC0502,Material_Handle,A,Super Soft Tech,0.0,0,0,133,157.9,0,1,
2025-01-02,Afternoon-2,MKBC0601,Material_Filament,A,Total Defense Shield,328.2636248,25600,605,330,157.8,0,0,0.023087197099790117
2025-01-02,Afternoon-2,MKBC0602,Material_Filament,A,Total Defense Shield,406.1850444,32048,483,407,78.9,0,0,0.014847376348713534
2025-01-02,Afternoon-2,MKBC0701,Material_Handle,A,Junior Sparkle (Ages 2+),302.3255814,25700,475,303,258.0,0,0,0.018147086914995225
2025-01-02,Afternoon-2,MKBC0902,Material_Filament,A,Classic Clean 100,421.5969582,32964,87,423,78.9,0,0,0.0026322955432513387
2025-01-02,Afternoon-2,MKBC1001,Material_Handle,A,Defense Action Pro,435.0,25800,360,436,120.0,0,0,0.013761467889908258
2025-01-02,Afternoon-2,MKBC1101,Bundle_Material,A,Total Defense Shield,383.269962,29940,421,385,78.9,0,0,0.013866473436316328
2025-01-02,Afternoon-2,MKBC1102,Material_Handle,A,EcoFresh Plus,388.9534884,33150,293,391,258.0,0,0,0.008761175731842239
2025-01-02,Afternoon-2,MKBC1201,Material_Filament,A,Zenith Active,359.2042245,28950,496,362,244.29,0,0,0.016844393126400868
2025-01-02,Afternoon-2,MKBC1202,Material_Handle,A,Ocean Explorer (Ages 6+),355.8139535,30300,329,357,258.0,0,0,0.010741454177413562
2025-01-02,Afternoon-2,MKBC1301,Material_Handle,A,Advanced Hydro-Clean,332.0,8300,423,342,25.0,0,0,0.04849249111544193
2025-01-02,Afternoon-2,MKFX2101,Material_Filament,A,Classic Clean 100,268.2889734,20868,381,269,78.9,0,0,0.017930255541437245
2025-01-02,Afternoon-2,MKFX2102,Material_Filament,A,Classic Clean 100,434.3726236,33972,274,436,78.9,0,0,0.008000934415698184
2025-01-02,Afternoon-2,MKTU2001,Material_Handle,A,PureMint Fresh,364.0,9100,346,365,25.0,0,0,0.03662926106288376
2025-01-02,Afternoon-2,MKTU2002,Material_Handle,A,PureMint Fresh,400.0,10000,116,401,25.0,0,0,0.011466982997232108
2025-01-02,Afternoon-2,MKTU2003,Material_Handle,A,Total Action Green,404.0,10100,47,405,25.0,0,0,0.0046319109096284615
2025-01-02,Afternoon-2,MKTU2004,Material_Handle,A,GreenClean Pro,395.0617284,9600,475,398,24.3,0,0,0.04714640198511166
2025-01-02,Afternoon-2,MKTU2005,Material_Handle,A,EcoFresh Green,239.4988946,6500,192,160,27.14,0,0,0.02869097429766886
2025-01-02,Afternoon-2,MKTU2005,Tooling,A,EcoFresh Green,0.0,0,0,85,27.14,0,1,
2025-01-02,Afternoon-2,MKTU2006,Material_Handle,A,Total Action Green,412.0,10300,320,413,25.0,0,0,0.030131826741996232
2025-01-02,Afternoon-2,MKZA1401,Material_Handle,A,Super Soft Tech,404.4776119,26800,568,314,67.0,0,0,0.02075416544869921
2025-01-02,Afternoon-2,MKZA1401,Bundle_Material,A,Super Soft Tech,0.0,0,0,100,67.0,0,1,
2025-01-02,Afternoon-2,MKZA1801,Material_Handle,A,Total Action Model S,219.4029851,14700,490,222,67.0,0,0,0.03225806451612903
2025-01-02,Afternoon-2,MKZA1802,Material_Handle,A,Total Action Model S,313.4328358,20700,612,316,67.0,0,0,0.028716216216216218
2025-01-02,Day-1,MAFT2201,Material_Handle,C,Renew 360,272.0,6528,677,296,24.0,0,0,0.09396252602359473
2025-01-02,Day-1,MAFT2202,Material_Handle,C,Renew 360,283.75,6810,653,213,24.0,0,0,0.08749832507034705
2025-01-02,Day-1,MAFT2202,Material_Filament,C,Renew 360,0.0,0,0,101,24.0,0,1,
2025-01-02,Day-1,MAFT2203,Material_Handle,C,Renew 360,300.0,7200,537,325,24.0,0,0,0.06940674680108569
2025-01-02,Day-1,MHPT2301,Material_Handle,C,Deep Action White,375.0,18000,537,377,48.0,0,0,0.028969088849328372
2025-01-02,Day-1,MHPT2302,Material_Handle,C,Deep Action White,375.0,18000,599,378,48.0,0,0,0.032206032582396904
2025-01-02,Day-1,MHPT2303,Material_Handle,C,Total Action Model S,344.8275862,22700,644,348,133.4,0,0,0.027587388622344073
2025-01-02,Day-1,MHPT2304,Material_Filament,C,Total Defense Shield,414.9461685,25908,161,417,63.16,0,0,0.006175917756722544
2025-01-02,Day-1,MHPT2305,Material_Filament,C,Classic Clean 100,414.6835443,25908,496,417,63.2,0,0,0.0187850325708226
2025-01-02,Day-1,MHPT2306,Material_Filament,C,Total Defense Shield,454.7815073,28424,181,457,63.16,0,0,0.006327565110994581
2025-01-02,Day-1,MHPT2307,UNKNOWN,C,Total Defense Shield,430.9056365,26916,108,431,63.16,0,0,0.003996447602131439
2025-01-02,Day-1,MKBC0101,Material_Handle,C,Kids FunBrush (Tandy),422.0930233,36300,117,423,172.0,0,0,0.0032127852376637287
2025-01-02,Day-1,MKBC0201,Material_Handle,C,EcoFresh Plus,326.7211202,27700,494,335,171.4,0,0,0.017521458466340355
2025-01-02,Day-1,MKBC0202,Material_Filament,C,Pro-Clean 5000,342.7518428,27600,548,345,162.8,0,0,0.019468523518544834
2025-01-02,Day-1,MKBC0301,Material_Filament,C,Total Defense Shield,380.6337136,29732,126,382,157.8,0,0,0.004219974546185277
2025-01-02,Day-1,MKBC0302,Material_Filament,C,EcoFresh Plus,323.255814,27500,494,328,172.0,0,0,0.017646638565406873
2025-01-02,Day-1,MKBC0401,Material_Filament,C,Zenith Active,405.2560481,32700,432,408,162.86,0,0,0.013038754074610649
2025-01-02,Day-1,MKBC0402,Material_Filament,C,Zenith Active,375.1688567,30250,556,377,162.86,0,0,0.018048432123612283
2025-01-02,Day-1,MKBC0501,Material_Handle,C,GreenClean Pro,88.47736626,6450,436,93,145.8,0,0,0.06331687481847226
2025-01-02,Day-1,MKBC0502,Material_Handle,C,Super Soft Tech,291.3236225,22700,518,297,157.9,0,0,0.022310276509604616
2025-01-02,Day-1,MKBC0601,Material_Filament,C,Total Defense Shield,232.3954373,18336,466,237,157.8,0,0,0.0247845973832571
2025-01-02,Day-1,MKBC0602,Material_Filament,C,Total Defense Shield,314.2205323,24492,610,321,78.9,0,0,0.02430085252171142
2025-01-02,Day-1,MKBC0701,Material_Handle,C,Junior Sparkle (Ages 2+),446.5116279,38100,467,447,258.0,0,0,0.012108797676770295
2025-01-02,Day-1,MKBC0901,Material_Filament,C,Classic Clean 100,275.8935361,21468,338,278,157.8,0,0,0.015500321012565349
2025-01-02,Day-1,MKBC0902,Material_Filament,C,Classic Clean 100,255.513308,19860,253,257,78.9,0,0,0.012578929050862626
2025-01-02,Day-1,MKBC1001,Material_Handle,C,Defense Action Pro,427.5,25350,595,429,180.0,0,0,0.022933127770283293
2025-01-02,Day-1,MKBC1002,Material_Filament,C,Classic Clean 100,321.9264892,25100,180,323,78.9,0,0,0.007120253164556962
2025-01-02,Day-1,MKBC1101,Bundle_Material,C,Total Defense Shield,0.0,0,420,5,78.9,1,0,1.0
2025-01-02,Day-1,MKBC1102,Material_Handle,C,EcoFresh Plus,393.0232558,33500,73,393,258.0,0,0,0.002174366306258005
2025-01-02,Day-1,MKBC1201,Material_Filament,C,Zenith Active,378.2389783,30500,519,380,162.86,0,0,0.016731680582868565
2025-01-02,Day-1,MKBC1202,Material_Handle,C,Ocean Explorer (Ages 6+),348.255814,29950,330,349,172.0,0,0,0.010898282694848084
2025-01-02,Day-1,MKBC1301,Material_Handle,C,Advanced Hydro-Clean,256.0,6400,434,261,50.0,0,0,0.06350599941469125
2025-01-02,Day-1,MKFX2101,Material_Filament,C,Classic Clean 100,376.8314322,29732,391,377,78.9,0,0,0.012980114862397503
2025-01-02,Day-1,MKFX2102,Material_Filament,C,Classic Clean 100,434.3726236,34272,475,435,78.9,0,0,0.013670244913229919
2025-01-02,Day-1,MKTU2001,Material_Handle,C,PureMint Fresh,408.0,10200,236,410,25.0,0,0,0.02261402836335761
2025-01-02,Day-1,MKTU2002,Material_Handle,C,PureMint Fresh,320.0,8000,84,321,25.0,0,0,0.010390895596239486
2025-01-02,Day-1,MKTU2003,Material_Handle,C,Total Action Green,400.0,10000,528,401,25.0,0,0,0.05015197568389058
2025-01-02,Day-1,MKTU2004,Material_Handle,C,GreenClean Pro,395.0617284,9600,268,397,24.3,0,0,0.027158492095662748
2025-01-02,Day-1,MKTU2005,Tooling,C,EcoFresh Green,53.42667649,4750,676,60,27.14,0,0,0.12458532989310726
2025-01-02,Day-1,MKTU2006,Material_Handle,C,Total Action Green,448.0,11200,374,449,25.0,0,0,0.03231380680836357
2025-01-02,Day-1,MKZA1401,Bundle_Material,C,ActiveClean Guard,65.67164179,7700,101,66,67.0,0,0,0.012947058069478271
2025-01-02,Day-1,MKZA1401,Bundle_Material,C,Super Soft Tech,279.1044776,18700,440,284,67.0,0,0,0.022988505747126436
2025-01-02,Day-1,MKZA1801,Material_Handle,C,Total Action Model S,205.9701493,13800,352,208,67.0,0,0,0.0248728094968909
2025-01-02,Day-1,MKZA1802,Material_Handle,C,Total Action Model S,241.7910448,16200,200,244,67.0,0,0,0.012195121951219513
2025-01-02,Night-3,MAFT2201,Material_Handle,B,Renew 360,312.0,7488,587,330,24.0,0,0,0.07269349845201238
2025-01-02,Night-3,MAFT2202,Material_Filament,B,Renew 360,324.0,7776,500,343,24.0,0,0,0.06041565973900435
2025-01-02,Night-3,MAFT2203,Material_Handle,B,Renew 360,186.8333333,7784,275,199,24.0,0,0,0.03412334036480953
2025-01-02,Night-3,MHPT2301,Material_Handle,B,Deep Action White,435.4166667,20600,119,438,96.0,0,0,0.005743520440175684
2025-01-02,Night-3,MHPT2302,Material_Handle,B,Deep Action White,427.0833333,20200,185,430,48.0,0,0,0.009075300466028943
2025-01-02,Night-3,MHPT2303,Material_Handle,B,Total Action Model S,449.7751124,29700,195,452,133.4,0,0,0.006522829904666332
2025-01-02,Night-3,MHPT2304,Material_Filament,B,Total Defense Shield,395.8201393,24700,310,399,63.16,0,0,0.012395041983206718
2025-01-02,Night-3,MHPT2305,Material_Filament,B,Classic Clean 100,409.9367089,25608,300,413,63.2,0,0,0.01157943492357573
2025-01-02,Night-3,MHPT2306,Material_Filament,B,Total Defense Shield,459.6580114,29032,454,461,63.16,0,0,0.01539713762463542
2025-01-02,Night-3,MHPT2307,UNKNOWN,B,Total Defense Shield,373.4008866,23284,415,374,63.16,0,0,0.017511287396092663
2025-01-02,Night-3,MKBC0101,Bundle_Material,B,Kids FunBrush (Tandy),301.1627907,25900,148,302,86.0,0,0,0.005681818181818182
2025-01-02,Night-3,MKBC0101,Bundle_Material,B,Ocean Explorer (Ages 6+),111.627907,9600,56,112,86.0,0,0,0.00579950289975145
2025-01-02,Night-3,MKBC0102,Material_Filament,B,Pro-Shield Complete,174.4471744,14200,557,176,162.8,0,0,0.03774479907840347
2025-01-02,Night-3,MKBC0201,Material_Handle,B,EcoFresh Plus,394.3990665,33800,360,395,85.7,0,0,0.01053864168618267
